story_id,story_title,slot,expected_path,image_prompt
1,"التاجر الصغير الأمين",cover,/public/images/stories/1/cover.png,"A vibrant illustration in minimal kids book style showing a 12-year-old Saudi boy (Kareem) wearing a white thobe and red shemagh, standing proudly in front of a traditional Medina marketplace (souq). The background shows the iconic green dome of Prophet's Mosque. The scene is warm and welcoming, with traditional Arabic architectural elements and market stalls visible. Kareem's expression is kind and confident."
1,"التاجر الصغير الأمين",page-1,/public/images/stories/1/page-1.png,"A morning scene in Medina showing Kareem and his father walking through the streets at dawn. They are dressed in traditional Saudi clothing, heading towards their shop. The scene captures the beautiful architecture of Medina, with the morning light creating a peaceful atmosphere. Both characters are drawn in a warm, approachable cartoon style."
1,"التاجر الصغير الأمين",page-2,/public/images/stories/1/page-2.png,"Inside a traditional Arabian perfume shop, showing Kareem helping an elderly man with a walking stick. The shop is decorated with colorful bottles of perfume and spices. The lighting is warm and inviting, and the elderly man has a gentle smile. The scene emphasizes the respectful interaction between young and old."
1,"التاجر الصغير الأمين",page-3,/public/images/stories/1/page-3.png,"A detailed scene of Kareem showing different perfume bottles to the elderly man. The shelves behind them are filled with traditional Arabic perfume bottles and spices. Kareem is shown explaining with animated hand gestures while the elderly man listens attentively. The art style maintains its warm, traditional Middle Eastern atmosphere."
1,"التاجر الصغير الأمين",page-4,/public/images/stories/1/page-4.png,"The elderly man is shown talking to other customers in the marketplace about Kareem's honesty. Kareem and his father are in the background of their shop, with the father's hand proudly on Kareem's shoulder. The scene captures the bustling marketplace atmosphere with various people listening to the elderly man's story."
1,"التاجر الصغير الأمين",page-5,/public/images/stories/1/back.png,"A busy scene of the perfume shop now full of customers. Kareem and his father are serving multiple customers with bright smiles. The shop looks more prosperous, with new displays and a warm, inviting atmosphere. The artistic style emphasizes the joy and success while maintaining traditional Saudi elements."
1,"التاجر الصغير الأمين",back,/public/images/stories/1/back.png,"A group shot showing all the characters from the story: Kareem, his father, the elderly man, and various customers gathered in front of the perfume shop. The Prophet's Mosque is visible in the background. The scene is joyful and celebratory, with traditional Arabic architectural elements framing the composition. Space is left at the bottom for story information. The art style remains consistent with the minimal kids book style used throughout."
2,"تمور الطيبة",cover,/public/images/stories/2/cover.png,"A warm, inviting illustration of a young Saudi girl (Noura) standing in front of a beautiful date palm farm at sunset. She's wearing a colorful traditional dress and holding a decorative woven basket. The palm trees are laden with golden-brown dates. Art style: Pixar-like 3D animation with rich, warm colors. The title 'تمور الطيبة' appears in decorative Arabic calligraphy at the top."
2,"تمور الطيبة",page-1,/public/images/stories/2/page-1.png,"A morning scene in a date palm farm. Noura and her father are collecting dates. Noura is wearing a colorful traditional dress and holding her grandmother's decorated basket. The sun is rising, casting golden light through the palm trees. Art style: Pixar-like 3D animation."
2,"تمور الطيبة",page-2,/public/images/stories/2/page-2.png,"Noura looking thoughtfully at an elderly neighbor (Umm Saad) walking slowly with a cane. Noura is standing by her basket full of dates. The scene shows traditional Saudi houses in the background. Art style: Pixar-like 3D animation."
2,"تمور الطيبة",page-3,/public/images/stories/2/page-3.png,"A heartwarming scene at Umm Saad's traditional door. Noura is offering her basket of dates to the smiling elderly woman. The scene shows traditional Saudi architectural details. Art style: Pixar-like 3D animation."
2,"تمور الطيبة",page-4,/public/images/stories/2/page-4.png,"A cozy family scene inside a traditional Saudi home. Noura is sitting with her parents on traditional cushions, telling them about her day. There's a plate of dates on a traditional coffee table. Art style: Pixar-like 3D animation."
2,"تمور الطيبة",page-5,/public/images/stories/2/page-5.png,"A final scene showing Noura sharing dates with various neighbors in her community. The scene shows multiple generations, traditional clothing, and architecture. Everyone is smiling and happy. The date palms are visible in the background. Art style: Pixar-like 3D animation."
2,"تمور الطيبة",back,/public/images/stories/2/back.png,"A group portrait of all characters from the story: Noura, her parents, grandmother, Umm Saad, and other neighbors, standing together in front of the date palm farm at sunset. Everyone is holding dates or baskets, smiling warmly. The scene captures the story's themes of generosity and community. Art style: Pixar-like 3D animation. Space at the bottom for story information and summary."
3,"فيصل الشجاع في نجران",page-1,/public/images/stories/3/page-1.jpg,"1. **Character Description**:
Faisal is a young Saudi boy from Najran who lives near the mountains with his family. He's a responsible and brave shepherd boy who helps his father tend to their sheep. Despite his young age (likely 8-10 years old), he shows remarkable maturity and courage. He wears traditional Saudi clothing suitable for shepherding and has a strong sense of duty. His character demonstrates wisdom beyond his years, prioritizing others' needs before his own, and showing both physical bravery and moral courage in challenging situations.

2. **Visual Prompts**:

1. 'A picturesque scene of Najran's mountainous landscape with a young Saudi boy in traditional clothes tending to sheep with his father in the foreground'"
3,"فيصل الشجاع في نجران",page-2,/public/images/stories/3/page-2.jpg,"1. **Character Description**:
Faisal is a young Saudi boy from Najran who lives near the mountains with his family. He's a responsible and brave shepherd boy who helps his father tend to their sheep. Despite his young age (likely 8-10 years old), he shows remarkable maturity and courage. He wears traditional Saudi clothing suitable for shepherding and has a strong sense of duty. His character demonstrates wisdom beyond his years, prioritizing others' needs before his own, and showing both physical bravery and moral courage in challenging situations.

2. **Visual Prompts**:
2. 'A dramatic moment showing a concerned Faisal and his father discovering one sheep is missing, with the setting sun casting long shadows across the valley'"
3,"فيصل الشجاع في نجران",page-3,/public/images/stories/3/page-3.jpg,"1. **Character Description**:
Faisal is a young Saudi boy from Najran who lives near the mountains with his family. He's a responsible and brave shepherd boy who helps his father tend to their sheep. Despite his young age (likely 8-10 years old), he shows remarkable maturity and courage. He wears traditional Saudi clothing suitable for shepherding and has a strong sense of duty. His character demonstrates wisdom beyond his years, prioritizing others' needs before his own, and showing both physical bravery and moral courage in challenging situations.

2. **Visual Prompts**:


3. 'A tense scene of Faisal carefully climbing down a rocky valley in search of the lost lamb, with dark rain clouds gathering overhead'"
3,"فيصل الشجاع في نجران",page-4,/public/images/stories/3/page-4.jpg,"1. **Character Description**:
Faisal is a young Saudi boy from Najran who lives near the mountains with his family. He's a responsible and brave shepherd boy who helps his father tend to their sheep. Despite his young age (likely 8-10 years old), he shows remarkable maturity and courage. He wears traditional Saudi clothing suitable for shepherding and has a strong sense of duty. His character demonstrates wisdom beyond his years, prioritizing others' needs before his own, and showing both physical bravery and moral courage in challenging situations.

2. **Visual Prompts**:
4. 'A heartwarming image of Faisal carrying a small wet sheep in his arms while supporting his limping father, all three making their way through the rain'"
3,"فيصل الشجاع في نجران",page-5,/public/images/stories/3/page-5.jpg,"1. **Character Description**:
Faisal is a young Saudi boy from Najran who lives near the mountains with his family. He's a responsible and brave shepherd boy who helps his father tend to their sheep. Despite his young age (likely 8-10 years old), he shows remarkable maturity and courage. He wears traditional Saudi clothing suitable for shepherding and has a strong sense of duty. His character demonstrates wisdom beyond his years, prioritizing others' needs before his own, and showing both physical bravery and moral courage in challenging situations.

2. **Visual Prompts**:

5. 'An evening family gathering inside a traditional Saudi home, with Faisal's father proudly telling the story while family members listen attentively around him'"
3,"فيصل الشجاع في نجران",page-6,/public/images/stories/3/page-6.jpg,"1. **Character Description**:
Faisal is a young Saudi boy from Najran who lives near the mountains with his family. He's a responsible and brave shepherd boy who helps his father tend to their sheep. Despite his young age (likely 8-10 years old), he shows remarkable maturity and courage. He wears traditional Saudi clothing suitable for shepherding and has a strong sense of duty. His character demonstrates wisdom beyond his years, prioritizing others' needs before his own, and showing both physical bravery and moral courage in challenging situations.

2. **Visual Prompts**:

6. 'A final illustration of Faisal sitting among younger children in traditional dress, animated as he tells his story, with the mountains of Najran visible through a window'"
4,"مُبتَكِرُ المُستَقبَل",page-1,/public/images/stories/4/cover.jpg,"A young Saudi boy in traditional thobe sitting at a desk in his room, drawing inventions and designs, with modern Riyadh skyline visible through the window"
4,"مُبتَكِرُ المُستَقبَل",page-1,/public/images/stories/4/page-1.jpg,"An elderly Saudi grandfather and his grandson sitting under a palm tree in old Diriyah, traditional clothing, late afternoon"
4,"مُبتَكِرُ المُستَقبَل",page-2,/public/images/stories/4/page-2.jpg,"A digital screen showing a national innovation competition announcement, with excited Salman looking at it in a modern Saudi shopping mall"
4,"مُبتَكِرُ المُستَقبَل",page-3,/public/images/stories/4/page-3.jpg,"A modern Saudi public library interior with Salman reading books surrounded by technology and innovation displays"
4,"مُبتَكِرُ المُستَقبَل",page-4,/public/images/stories/4/page-4.jpg,"Inside a modern innovation center, Salman working on his smart device prototype with digital tools and equipment"
4,"مُبتَكِرُ المُستَقبَل",page-5,/public/images/stories/4/page-5.jpg,"A modern exhibition hall with Salman presenting his invention to judges, with Saudi flags and technology displays in background"
4,"مُبتَكِرُ المُستَقبَل",page-6,/public/images/stories/4/page-6.jpg,"Salman holding his award with the Saudi flag behind him, modern buildings of Riyadh visible through large windows, showing pride and achievement"
5,"حكاية الدرعية",page-2,/public/images/stories/5/page-2.jpg,"Historic Diriyah mud houses, palm groves, and traditional marketplace with people in traditional dress"
5,"حكاية الدرعية",page-3,/public/images/stories/5/page-3.jpg,"King Abdulaziz in traditional Saudi dress arriving at Diriyah on horseback, people gathering to greet him"
5,"حكاية الدرعية",page-4,/public/images/stories/5/page-4.jpg,"Historic meeting in Diriyah square with King Abdulaziz and tribal leaders sitting in traditional majlis setting"
5,"حكاية الدرعية",page-5,/public/images/stories/5/page-5.jpg,"Saudi flag raising ceremony in unified Saudi Arabia, with traditional buildings and celebrating people"
5,"حكاية الدرعية",page-6,/public/images/stories/5/page-6.jpg,"Sunset view of modern Diriyah with grandfather and grandson looking at the historic site, Saudi flag waving"
6,"حلم وطن",page-1,/public/images/stories/6/page-1.jpg,"A Saudi boy in his room working on a small invention model, with modern Riyadh skyline visible through the window"
6,"حلم وطن",page-2,/public/images/stories/6/page-2.jpg,"A classroom scene with a teacher explaining Vision 2030 using a modern smart board, showing images of future Saudi projects"
6,"حلم وطن",page-3,/public/images/stories/6/page-3.jpg,"The boy working on his solar-powered air purifier project, looking determined despite initial failure"
6,"حلم وطن",page-4,/public/images/stories/6/page-4.jpg,"The boy with his parents, researching on a tablet and working on an improved version of his project"
6,"حلم وطن",page-5,/public/images/stories/6/page-5.jpg,"School innovation fair with the boy presenting his project to teachers and students, with his solar-powered device displayed"
6,"حلم وطن",page-6,/public/images/stories/6/page-6.jpg,"Award ceremony at school with the boy receiving first place, his project displayed prominently, and a banner of Vision 2030 in the background"
7,"رحلة في تراثنا الجميل",page-1,/public/images/stories/7/page-1.jpg,"An elderly Saudi grandmother sitting with her grandson outside a traditional house, weaving Sadu textile with colorful patterns"
7,"رحلة في تراثنا الجميل",page-2,/public/images/stories/7/page-2.jpg,"Split scene showing traditional stone houses in the north and decorated mud houses in the south of Saudi Arabia"
7,"رحلة في تراثنا الجميل",page-3,/public/images/stories/7/page-3.jpg,"Split scene showing pottery making in the east and traditional perfume making in the west"
7,"رحلة في تراثنا الجميل",page-4,/public/images/stories/7/page-4.jpg,"Traditional Saudi majlis with Arabic coffee and dates being served to guests"
7,"رحلة في تراثنا الجميل",page-5,/public/images/stories/7/page-5.jpg,"Grandmother teaching grandson traditional values, with traditional decorations in background"
7,"رحلة في تراثنا الجميل",page-6,/public/images/stories/7/page-6.jpg,"Grandson proudly holding a piece of traditional Sadu textile with his grandmother, both smiling"
8,"سالم والتمرة الذهبية",page-1,/public/images/stories/8/page-1.jpg,"generated from Gemini"
8,"سالم والتمرة الذهبية",page-2,/public/images/stories/8/page-2.jpg,"generated from Gemini"
8,"سالم والتمرة الذهبية",page-3,/public/images/stories/8/page-3.jpg,"generated from Gemini"
8,"سالم والتمرة الذهبية",page-4,/public/images/stories/8/page-4.jpg,"generated from Gemini"
8,"سالم والتمرة الذهبية",page-5,/public/images/stories/8/page-5.jpg,"generated from Gemini"
8,"سالم والتمرة الذهبية",page-6,/public/images/stories/8/page-6.jpg,"generated from Gemini"
9,"ليلى والزهرة العطشى",page-1,/public/images/stories/9/page-1.jpg,"generated from Gemini"
9,"ليلى والزهرة العطشى",page-2,/public/images/stories/9/page-2.jpg,"generated from Gemini"
9,"ليلى والزهرة العطشى",page-3,/public/images/stories/9/page-3.jpg,"generated from Gemini"
9,"ليلى والزهرة العطشى",page-4,/public/images/stories/9/page-4.jpg,"generated from Gemini"
9,"ليلى والزهرة العطشى",page-5,/public/images/stories/9/page-5.jpg,"generated from Gemini"
9,"ليلى والزهرة العطشى",page-6,/public/images/stories/9/page-6.jpg,"generated from Gemini"
10,"سالم والمزهرية",page-1,/public/images/stories/10/page-1.jpg,"generated from Gemini"
10,"سالم والمزهرية",page-2,/public/images/stories/10/page-2.jpg,"generated from Gemini"
10,"سالم والمزهرية",page-3,/public/images/stories/10/page-3.jpg,"generated from Gemini"
10,"سالم والمزهرية",page-4,/public/images/stories/10/page-4.jpg,"generated from Gemini"
10,"سالم والمزهرية",page-5,/public/images/stories/10/page-5.jpg,"generated from Gemini"
10,"سالم والمزهرية",page-6,/public/images/stories/10/page-6.jpg,"generated from Gemini"
11,"مها تساعد أمها",page-1,/public/images/stories/11/page-1.jpg,"generated from Gemini"
11,"مها تساعد أمها",page-2,/public/images/stories/11/page-2.jpg,"generated from Gemini"
11,"مها تساعد أمها",page-3,/public/images/stories/11/page-3.jpg,"generated from Gemini"
11,"مها تساعد أمها",page-4,/public/images/stories/11/page-4.jpg,"generated from Gemini"
11,"مها تساعد أمها",page-5,/public/images/stories/11/page-5.jpg,"generated from Gemini"
11,"مها تساعد أمها",page-6,/public/images/stories/11/page-6.jpg,"generated from Gemini"
12,"سارة والمحفظة المفقودة",page-1,/public/images/stories/12/page-1.jpg,"1. **Character Description**:
Sarah is a kind-hearted, honest young Arab girl around 7-8 years old who lives in Taif, Saudi Arabia. She enjoys spending time outdoors with her mother and has a younger sister named Nora. Sarah demonstrates strong moral values, particularly honesty and integrity, which she's learned from her parents and religious teachings. She's naturally curious but responsible, and takes pride in doing the right thing. Her character embodies the virtues of trustworthiness and selflessness, refusing monetary rewards for her good deeds.

2. **Visual Prompts**:

1. 'A sunny day in Al-Radf Park, Taif, with a young Arab girl in modest clothing discovering something shiny under a bush while collecting wildflowers. Her mother watches from nearby.'"
12,"سارة والمحفظة المفقودة",page-2,/public/images/stories/12/page-2.jpg,"2. 'Close-up of small hands carefully holding a black leather wallet, with colorful flowers in the background and a park setting.'"
12,"سارة والمحفظة المفقودة",page-3,/public/images/stories/12/page-3.jpg,"3. 'A cozy café scene with Sarah and her mother meeting an relieved-looking woman in traditional Saudi dress, with the wallet being returned across a table.'"
12,"سارة والمحفظة المفقودة",page-4,/public/images/stories/12/page-4.jpg,"4. 'Interior evening scene of two sisters, Sarah and Nora, sitting on a colorful bedroom floor, Sarah gesturing while telling her story to her younger sister who looks up at her admiringly.'"
12,"سارة والمحفظة المفقودة",page-5,/public/images/stories/12/page-5.jpg,"5. 'A heartwarming moment showing the grateful woman trying to offer Sarah a reward, while Sarah politely refuses with a gentle smile, her mother standing proudly behind her.'"
12,"سارة والمحفظة المفقودة",page-6,/public/images/stories/12/page-6.jpg,"6. 'Final scene of Sarah sleeping peacefully in her bed, a gentle smile on her face, with moonlight streaming through a window and traditional Arabian room decorations visible.'"
13,"رحلة خالد إلى العُلا",page-1,/public/images/stories/13/page-1.jpg,"A Saudi family in traditional dress arriving at AlUla entrance, with the young boy Khalid looking excited. Desert landscape and mountains in background."
13,"رحلة خالد إلى العُلا",page-2,/public/images/stories/13/page-2.jpg,"Khalid and his father looking at Hegra's rock-cut tombs in Madain Saleh, with the boy pointing in amazement at the ancient structures."
13,"رحلة خالد إلى العُلا",page-3,/public/images/stories/13/page-3.jpg,"Family sitting with a tour guide in traditional Saudi dress, with ancient trade route illustrations or holograms showing camels and merchants in the background."
13,"رحلة خالد إلى العُلا",page-4,/public/images/stories/13/page-4.jpg,"Khalid in AlUla museum looking at ancient artifacts in glass displays, with his mother pointing at ancient inscriptions."
13,"رحلة خالد إلى العُلا",page-5,/public/images/stories/13/page-5.jpg,"Family sitting under the starry desert sky, with Khalid talking enthusiastically while ancient monuments silhouetted in the background."
13,"رحلة خالد إلى العُلا",page-6,/public/images/stories/13/page-6.jpg,"Khalid and his family in their car leaving AlUla, with the boy holding a small souvenir model of Hegra, looking proud and happy."
14,"رحلة سلطان إلى عالم المهن",page-1,/public/images/stories/14/page-1.jpg,"A young Saudi boy and his father standing in front of a modern museum entrance, being greeted by a smiling tour guide in traditional Saudi dress"
14,"رحلة سلطان إلى عالم المهن",page-2,/public/images/stories/14/page-2.jpg,"Inside the museum, the tour guide enthusiastically explaining ancient artifacts to the boy and his father, with traditional Saudi items displayed in glass cases"
14,"رحلة سلطان إلى عالم المهن",page-3,/public/images/stories/14/page-3.jpg,"A traditional Saudi farm with date palms and vegetable gardens, where a farmer is showing agricultural tools to the boy and his father"
14,"رحلة سلطان إلى عالم المهن",page-4,/public/images/stories/14/page-4.jpg,"The farmer teaching the boy how to water plants, with farming equipment visible and the sun setting over the farm"
14,"رحلة سلطان إلى عالم المهن",page-5,/public/images/stories/14/page-5.jpg,"Inside an observatory, an astronomer helping the boy look through a large telescope, with star charts on the walls"
14,"رحلة سلطان إلى عالم المهن",page-6,/public/images/stories/14/page-6.jpg,"The boy and his father driving home at sunset, with thought bubbles showing the different professions they encountered during their day"
15,"رحلة راكان مع الخير",page-1,/public/images/stories/15/page-1.jpg,"Saudi boy Rakan sitting with his father watching TV showing news about Saudi aid"
15,"رحلة راكان مع الخير",page-2,/public/images/stories/15/page-2.jpg,"Excited Rakan with his father boarding a plane, showing the aircraft interior"
15,"رحلة راكان مع الخير",page-3,/public/images/stories/15/page-3.jpg,"Rakan visiting a new school, seeing happy students in classroom"
15,"رحلة راكان مع الخير",page-4,/public/images/stories/15/page-4.jpg,"Rakan at a hospital seeing doctors treating patients, Saudi logo on wall"
15,"رحلة راكان مع الخير",page-5,/public/images/stories/15/page-5.jpg,"Saudi relief teams distributing food and aid, Rakan watching proudly"
15,"رحلة راكان مع الخير",page-6,/public/images/stories/15/page-6.jpg,"Rakan sharing his experience with classmates in his Saudi school"
16,"فارس وجبل طويق",page-1,/public/images/stories/16/page-1.jpg,"A Saudi family in traditional clothes arriving at Tuwaiq Mountain in their car, morning sunlight, desert landscape"
16,"فارس وجبل طويق",page-2,/public/images/stories/16/page-2.jpg,"Young Saudi boy looking up in awe at the massive Tuwaiq Mountain, father pointing at the mountain"
16,"فارس وجبل طويق",page-3,/public/images/stories/16/page-3.jpg,"Family carefully climbing a safe trail on Tuwaiq Mountain, with a mountain gazelle in the background"
16,"فارس وجبل طويق",page-4,/public/images/stories/16/page-4.jpg,"Father and son sitting on mountain, drinking tea, overlooking vast Saudi landscape"
16,"فارس وجبل طويق",page-5,/public/images/stories/16/page-5.jpg,"Close-up of father and son having a meaningful conversation, Tuwaiq Mountain in background"
16,"فارس وجبل طويق",page-6,/public/images/stories/16/page-6.jpg,"Sunset view of Tuwaiq Mountain, with father and son walking back to their car, mountain silhouette in background"
17,"ناصر وفرحة التأسيس",page-1,/public/images/stories/17/page-1.jpg,"A Saudi boy (Nasser) waking up in his bedroom, with traditional Saudi decorations visible through his window"
17,"ناصر وفرحة التأسيس",page-2,/public/images/stories/17/page-2.jpg,"Nasser and his father dressed in traditional Saudi clothing, getting ready to go out"
17,"ناصر وفرحة التأسيس",page-3,/public/images/stories/17/page-3.jpg,"Decorated Saudi streets with green flags and lights, people wearing green"
17,"ناصر وفرحة التأسيس",page-4,/public/images/stories/17/page-4.jpg,"Father and son sitting in a traditional majlis, father explaining history"
17,"ناصر وفرحة التأسيس",page-5,/public/images/stories/17/page-5.jpg,"Falcons flying in the sky above decorated buildings, Nasser looking up proudly"
17,"ناصر وفرحة التأسيس",page-6,/public/images/stories/17/page-6.jpg,"Sunset scene with Nasser and his father watching the Saudi flag, both looking proud"
18,"صَدَفَةُ جُود",page-1,/public/images/stories/18/page-1.jpg,"A young Saudi girl in modern clothes sitting with her grandmother in a traditional Eastern Province house, looking at an old wooden chest"
18,"صَدَفَةُ جُود",page-2,/public/images/stories/18/page-2.jpg,"Grandmother's hands holding a large, pearly seashell while young Jood looks on with curiosity"
18,"صَدَفَةُ جُود",page-3,/public/images/stories/18/page-3.jpg,"Traditional pearl diver illustration with wooden boat (dhow) and diving equipment from old times"
18,"صَدَفَةُ جُود",page-4,/public/images/stories/18/page-4.jpg,"Close-up of Jood's hands carefully holding the shell, with wonder in her eyes"
18,"صَدَفَةُ جُود",page-5,/public/images/stories/18/page-5.jpg,"Historical scene of families waiting at the shore for pearl diving boats to return"
18,"صَدَفَةُ جُود",page-6,/public/images/stories/18/page-6.jpg,"Grandmother giving the shell to Jood as a gift, both smiling warmly in the evening light"
19,"حديث النخلة الحكيمة",page-1,/public/images/stories/19/page-1.jpg,"A Saudi farm in Al-Ahsa at sunset, with golden sky and date palms. Young boy Salman sitting under a large palm tree."
19,"حديث النخلة الحكيمة",page-2,/public/images/stories/19/page-2.jpg,"Close-up of Salman with closed eyes under the palm tree, peaceful expression, magical moment."
19,"حديث النخلة الحكيمة",page-3,/public/images/stories/19/page-3.jpg,"The majestic palm tree with dates, showing its height and grandeur, Salman looking up in wonder."
19,"حديث النخلة الحكيمة",page-4,/public/images/stories/19/page-4.jpg,"Illustration showing palm tree roots underground, with Salman sitting cross-legged, listening attentively."
19,"حديث النخلة الحكيمة",page-5,/public/images/stories/19/page-5.jpg,"Peaceful scene with birds in the palm tree, leaves swaying in the wind, Salman looking peaceful."
19,"حديث النخلة الحكيمة",page-6,/public/images/stories/19/page-6.jpg,"Sunset scene with Salman regularly visiting the palm tree, showing growth in his appreciation of nature."
20,"ساعة المستقبل العجيبة",page-1,/public/images/stories/20/page-1.jpg,"A young Saudi boy with his father in a golden desert near Riyadh, looking for colorful rocks"
20,"ساعة المستقبل العجيبة",page-2,/public/images/stories/20/page-2.jpg,"Close-up of an ancient-looking watch with green glow partially buried in desert sand"
20,"ساعة المستقبل العجيبة",page-3,/public/images/stories/20/page-3.jpg,"Futuristic Saudi city with flying cars and tall, modern buildings with Islamic architecture"
20,"ساعة المستقبل العجيبة",page-4,/public/images/stories/20/page-4.jpg,"Green parks and giant trees in a desert city, people wearing modern versions of traditional Saudi clothes"
20,"ساعة المستقبل العجيبة",page-5,/public/images/stories/20/page-5.jpg,"The boy talking to a person in futuristic Saudi dress, with amazing city views in background"
20,"ساعة المستقبل العجيبة",page-6,/public/images/stories/20/page-6.jpg,"The boy excitedly telling his father about his vision, with the desert sunset in background"
21,"صندوق القناعة",page-1,/public/images/stories/21/page-1.jpg,"A young Saudi boy standing in a peaceful Medina neighborhood at sunset, looking at other kids’ new bikes with longing"
21,"صندوق القناعة",page-2,/public/images/stories/21/page-2.jpg,"An elderly Saudi man in traditional attire handing a small wooden box to the boy in a simple neighborhood market"
21,"صندوق القناعة",page-3,/public/images/stories/21/page-3.jpg,"The boy placing colorful small items—like a pebble and a note—inside a wooden box, looking thoughtful"
21,"صندوق القناعة",page-4,/public/images/stories/21/page-4.jpg,"The boy happily playing with his siblings outside while holding the box, smiling genuinely"
21,"صندوق القناعة",page-5,/public/images/stories/21/page-5.jpg,"The boy talking to the elderly man again in the market, holding his now-filled wooden box proudly"
21,"صندوق القناعة",page-6,/public/images/stories/21/page-6.jpg,"The boy sitting in his garden, opening the box filled with small meaningful items, smiling contentedly"
22,"الجِدارُ المُتَكَلِّم",page-1,/public/images/stories/22/page-1.jpg,"A young Saudi girl in traditional dress standing before an ancient mud wall in historical Turaif district, looking up curiously"
22,"الجِدارُ المُتَكَلِّم",page-2,/public/images/stories/22/page-2.jpg,"The wall with a gentle face-like texture, speaking to the surprised girl. Traditional Saudi architectural details visible"
22,"الجِدارُ المُتَكَلِّم",page-3,/public/images/stories/22/page-3.jpg,"Historical scene showing merchants and scholars in old Diriyah, with the wall as a silent witness"
22,"الجِدارُ المُتَكَلِّم",page-4,/public/images/stories/22/page-4.jpg,"Historical scene of people building traditional mud houses in old Diriyah, working together"
22,"الجِدارُ المُتَكَلِّم",page-5,/public/images/stories/22/page-5.jpg,"Close-up of the wall and the girl in conversation, with traditional Saudi architectural elements in the background"
23,"الجِدارُ المُتَكَلِّم",page-1,/public/images/stories/23/page-1.jpg,"Saudi boy reading a book in his garden at night, with moon and stars visible"
23,"الجِدارُ المُتَكَلِّم",page-2,/public/images/stories/23/page-2.jpg,"Stars in the night sky transforming into glowing books, with the boy watching in amazement"
